State,"Percentage 1 to 9,999 2020","Percentage 10,000 to 14,999 2020","Percentage 15,000 to 24,999 2020","Percentage 25,000 to 34,999 2020","Percentage 35,000 to 49,999 2020","Percentage 50,000 to 64,999 2020","Percentage 65,000 to 74,999 2020","Percentage 75,000 or more 2020"
Alabama,5.12%,3.97%,3.30%,2.93%,3.52%,4.02%,5.43%,7.97%
Alaska,9.22%,7.93%,5.74%,5.28%,5.95%,4.61%,5.11%,5.42%
Arizona,8.53%,7.64%,6.58%,5.59%,7.84%,8.68%,10.19%,15.08%
Arkansas,5.07%,4.09%,3.23%,3.18%,3.27%,3.86%,5.53%,8.25%
California,9.25%,7.66%,6.25%,5.59%,6.37%,7.63%,8.24%,11.96%
Colorado,10.11%,8.71%,7.77%,7.14%,8.02%,9.60%,11.10%,17.57%
Connecticut,7.89%,6.62%,5.45%,5.18%,5.29%,6.35%,6.39%,12.07%
Delaware,6.29%,6.96%,5.80%,4.90%,4.30%,7.35%,6.77%,11.37%
District of Columbia,8.32%,6.43%,5.22%,3.52%,4.52%,5.72%,6.15%,5.94%
Florida,7.80%,6.52%,5.50%,5.54%,6.16%,7.86%,9.24%,14.21%
Georgia,7.02%,6.32%,5.25%,4.78%,5.37%,7.33%,8.38%,14.67%
Hawaii,9.80%,7.16%,5.63%,4.80%,4.08%,4.98%,5.02%,6.73%
Idaho,10.29%,8.57%,5.70%,5.23%,6.60%,6.69%,7.16%,13.21%
Illinois,7.24%,6.30%,5.25%,4.88%,5.34%,6.72%,7.18%,11.18%
Indiana,6.07%,4.60%,4.14%,3.59%,4.53%,5.15%,6.16%,9.72%
Iowa,8.46%,6.42%,5.68%,4.71%,4.48%,5.70%,5.44%,9.90%
Kansas,7.34%,5.87%,4.75%,4.20%,4.59%,5.63%,6.71%,10.87%
Kentucky,5.80%,4.81%,3.89%,3.34%,4.33%,4.91%,6.13%,9.40%
Louisiana,5.24%,4.24%,3.22%,3.00%,3.50%,4.35%,4.67%,5.70%
Maine,10.29%,8.60%,7.72%,5.61%,6.43%,6.71%,9.29%,12.96%
Maryland,8.04%,7.89%,6.43%,5.83%,6.08%,7.39%,9.29%,13.22%
Massachusetts,7.88%,7.63%,6.24%,5.09%,6.01%,6.67%,6.80%,11.53%
Michigan,6.62%,5.61%,4.53%,3.88%,4.74%,5.31%,6.72%,9.48%
Minnesota,9.94%,7.90%,7.09%,5.88%,6.35%,7.23%,7.49%,12.64%
Mississippi,3.58%,2.79%,2.52%,2.41%,2.31%,3.16%,4.90%,5.44%
Missouri,6.78%,6.63%,5.01%,4.55%,4.93%,5.98%,7.47%,10.54%
Montana,9.31%,8.05%,7.11%,6.47%,7.10%,7.75%,8.54%,10.69%
Nebraska,7.23%,5.99%,5.17%,5.04%,4.25%,5.20%,5.89%,8.68%
Nevada,6.21%,5.68%,4.00%,3.70%,4.33%,5.49%,7.48%,10.09%
New Hampshire,7.81%,6.53%,5.54%,5.18%,6.24%,7.67%,9.98%,15.39%
New Jersey,6.59%,6.29%,4.83%,5.03%,5.13%,6.83%,7.77%,12.64%
New Mexico,9.35%,6.52%,5.38%,4.38%,5.30%,5.69%,5.61%,8.77%
New York,7.30%,6.50%,5.26%,5.09%,4.98%,6.01%,6.74%,8.53%
North Carolina,7.23%,6.40%,5.14%,5.02%,5.67%,6.84%,8.63%,15.18%
North Dakota,6.24%,5.24%,5.08%,4.66%,3.34%,4.39%,5.45%,5.68%
Ohio,6.28%,4.94%,4.26%,4.13%,4.89%,5.36%,6.45%,10.38%
Oklahoma,6.29%,6.13%,4.70%,3.94%,4.16%,4.99%,5.90%,7.04%
Oregon,10.73%,9.18%,7.13%,6.40%,7.02%,8.31%,9.75%,13.45%
Pennsylvania,7.25%,5.92%,5.16%,4.66%,5.75%,6.49%,7.59%,11.67%
Puerto Rico,4.33%,2.86%,2.16%,2.39%,3.22%,3.35%,3.72%,4.55%
Rhode Island,6.16%,4.87%,4.86%,4.15%,3.77%,5.44%,6.85%,8.41%
South Carolina,5.69%,4.65%,3.77%,3.45%,4.41%,5.73%,6.51%,11.79%
South Dakota,9.36%,7.95%,5.59%,4.47%,5.12%,6.02%,7.27%,10.31%
Tennessee,6.40%,5.21%,3.91%,4.09%,4.96%,6.04%,7.23%,11.55%
Texas,7.46%,6.14%,4.58%,4.50%,5.48%,6.55%,7.37%,11.88%
Utah,9.75%,8.63%,7.70%,6.64%,7.56%,8.06%,9.15%,13.44%
Vermont,10.87%,10.06%,7.44%,7.35%,6.97%,6.86%,8.68%,14.53%
Virginia,7.70%,6.97%,5.58%,4.72%,5.66%,7.05%,8.54%,13.66%
Washington,10.07%,8.88%,6.54%,5.42%,6.60%,7.68%,8.82%,13.58%
West Virginia,6.05%,4.53%,3.62%,3.08%,3.57%,4.55%,5.16%,7.71%
Wisconsin,7.07%,6.95%,5.44%,4.75%,5.22%,5.74%,6.19%,10.50%
Wyoming,8.68%,8.48%,5.12%,5.42%,4.06%,5.42%,6.70%,6.30%
